class,cbo,wmc,lcom
com.alibaba.druid.bvt.sql.oracle.createTable.OracleCreateTableTest60,4,1,0
com.alibaba.druid.sql.ast.statement.SQLAlterTablePartitionLifecycle,4,6,0
com.alibaba.druid.bvt.sql.mysql.createTable.MySqlCreateTableTest145_tail_hint,4,1,0
com.alibaba.druid.bvt.sql.mysql.select.MySqlSelectTest_308_mtr,2,1,0
com.alibaba.druid.bvt.sql.oracle.createTable.OracleCreateTableTest69,2,1,0
com.alibaba.druid.bvt.sql.oracle.createTable.OracleCreateTableTest67,5,1,0
com.alibaba.druid.bvt.sql.oracle.createTable.OracleCreateTableTest68,3,1,0
com.alibaba.druid.bvt.sql.eval.EvalMethodTrimTest,1,1,0
com.alibaba.druid.bvt.sql.oracle.createTable.OracleCreateTableTest65,4,1,0
com.alibaba.druid.bvt.sql.eval.EvalMethodTest_substring,1,1,0
com.alibaba.druid.bvt.sql.oracle.createTable.OracleCreateTableTest66,4,1,0
com.alibaba.druid.bvt.sql.oracle.createTable.OracleCreateTableTest63,4,1,0
com.alibaba.druid.bvt.sql.oracle.createTable.OracleCreateTableTest64,4,1,0
com.alibaba.druid.pool.ui.DruidDataSourceUIManager,2,10,1
com.alibaba.druid.bvt.sql.postgresql.expr.BoxTest,5,1,0
com.alibaba.druid.bvt.sql.mysql.select.MySqlSelectTest_116_with_cube,4,1,0
com.alibaba.druid.wall.WallConfig$TenantCallBack,1,4,6
com.alibaba.druid.stat.spring.UserService,1,1,0
com.alibaba.druid.bvt.sql.oracle.visitor.OracleSchemaStatVisitorTest_Delete,5,1,0
com.alibaba.druid.pool.oracle.QueryTimeoutTest$Anonymous1,0,2,0
com.alibaba.druid.bvt.sql.oracle.createTable.OracleCreateTableTest50,4,1,0
com.alibaba.druid.bvt.sql.oracle.createTable.OracleCreateTableTest51,4,1,0
com.alibaba.druid.bvt.sql.mysql.visitor.MySqlSchemaStatVisitorTest7_between,4,1,0
com.alibaba.druid.sql.ast.statement.SQLBlockStatement,8,31,210
com.alibaba.druid.sql.dialect.bigquery.parser.BigQueryStatementParser,28,57,136
com.alibaba.druid.benckmark.proxy.BenchmarkExecutor,4,28,50
com.alibaba.druid.bvt.sql.oracle.createTable.OracleCreateTableTest58,4,1,0
com.alibaba.druid.bvt.sql.oracle.createTable.OracleCreateTableTest59,4,1,0
com.alibaba.druid.bvt.sql.eval.EvalMethodInstrTest,1,1,0
com.alibaba.druid.bvt.sql.oracle.createTable.OracleCreateTableTest56,4,1,0
com.alibaba.druid.bvt.sql.oracle.createTable.OracleCreateTableTest57,4,1,0
com.alibaba.druid.bvt.sql.eval.EvalTest_lteq,1,9,36
com.alibaba.druid.bvt.sql.oracle.createTable.OracleCreateTableTest54,4,1,0
com.alibaba.druid.bvt.sql.oracle.createTable.OracleCreateTableTest55,4,1,0
com.alibaba.druid.sql.dialect.phoenix.ast.PhoenixUpsertStatement,2,1,0
com.alibaba.druid.bvt.sql.oracle.createTable.OracleCreateTableTest52,4,1,0
com.alibaba.druid.bvt.sql.oracle.createTable.OracleCreateTableTest53,4,1,0
com.alibaba.druid.sql.repository.SchemaRepository$OracleConsoleSchemaVisitor,15,12,66
com.alibaba.druid.sql.dialect.mysql.ast.statement.MySqlAlterEventStatement,7,27,148
com.alibaba.druid.bvt.support.http.UserAgentBotStat,2,33,528
com.alibaba.druid.bvt.pool.DruidDataSourceTest8$Anonymous1,2,1,0
com.alibaba.druid.bvt.filter.StatFilterReadStringLengthTest,4,4,0
com.alibaba.druid.bvt.sql.mysql.createTable.MySqlCreateTableTest81,4,1,0
com.alibaba.druid.sql.dialect.athena.parser.AthenaStatementParser,6,5,10
com.alibaba.druid.bvt.sql.mysql.createTable.MySqlCreateTableTest82,4,1,0
com.alibaba.druid.bvt.sql.hive.HiveCreateTableTest_47_dla,2,1,0
com.alibaba.druid.bvt.sql.mysql.createTable.MySqlCreateTableTest83,4,1,0
com.alibaba.druid.bvt.sql.mysql.createTable.MySqlCreateTableTest84,5,1,0
com.alibaba.druid.sql.visitor.SQLDataTypeValidator,17,28,58
org.springframework.samples.petclinic.owner.Visit,6,5,2
com.alibaba.druid.bvt.sql.mysql.createTable.MySqlCreateTableTest80,4,1,0
com.alibaba.druid.bvt.bug.Bug_for_happyday517_3,3,3,0
com.alibaba.druid.sql.ast.expr.SQLPropertyExpr,20,109,141
com.alibaba.druid.sql.ast.SQLKeep$DenseRank,0,0,0
com.alibaba.druid.bvt.bug.Bug_for_happyday517_2,4,5,0
